track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1,1,100,car,1033.712,991.035,5.081,2.161,0.402,4.17,1.7
1,2,200,car,1034.225,991.239,5.113,2.128,0.394,4.17,1.7
1,3,300,car,1034.742,991.439,5.157,2.094,0.386,4.17,1.7
1,4,400,car,1035.263,991.634,5.211,2.058,0.376,4.17,1.7
1,5,500,car,1035.79,991.825,5.272,2.02,0.366,4.17,1.7
1,6,600,car,1036.323,992.01,5.335,1.977,0.355,4.17,1.7
1,7,700,car,1036.863,992.191,5.4,1.927,0.343,4.17,1.7
1,8,800,car,1037.41,992.365,5.463,1.871,0.33,4.17,1.7
1,9,900,car,1037.963,992.532,5.524,1.807,0.316,4.17,1.7
1,10,1000,car,1038.522,992.692,5.583,1.736,0.301,4.17,1.7
1,11,1100,car,1039.088,992.842,5.642,1.657,0.286,4.17,1.7
1,12,1200,car,1039.66,992.984,5.7,1.571,0.269,4.17,1.7
1,13,1300,car,1040.238,993.115,5.762,1.478,0.251,4.17,1.7
1,14,1400,car,1040.822,993.236,5.827,1.38,0.232,4.17,1.7
1,15,1500,car,1041.412,993.345,5.898,1.276,0.213,4.17,1.7
1,16,1600,car,1042.008,993.443,5.977,1.168,0.193,4.17,1.7
1,17,1700,car,1042.612,993.529,6.065,1.055,0.172,4.17,1.7
1,18,1800,car,1043.224,993.603,6.162,0.939,0.151,4.17,1.7
1,19,1900,car,1043.844,993.666,6.267,0.819,0.13,4.17,1.7
1,20,2000,car,1044.475,993.715,6.38,0.695,0.108,4.17,1.7
1,21,2100,car,1045.116,993.753,6.5,0.568,0.087,4.17,1.7
1,22,2200,car,1045.768,993.778,6.625,0.439,0.066,4.17,1.7
1,23,2300,car,1046.432,993.791,6.754,0.309,0.046,4.17,1.7
1,24,2400,car,1047.108,993.792,6.885,0.179,0.026,4.17,1.7
1,25,2500,car,1047.796,993.781,7.018,0.051,0.007,4.17,1.7
1,26,2600,car,1048.498,993.758,7.152,-0.074,-0.01,4.17,1.7
1,27,2700,car,1049.213,993.725,7.285,-0.195,-0.027,4.17,1.7
1,28,2800,car,1049.941,993.682,7.419,-0.309,-0.042,4.17,1.7
1,29,2900,car,1050.683,993.63,7.552,-0.416,-0.055,4.17,1.7
1,30,3000,car,1051.437,993.569,7.685,-0.514,-0.067,4.17,1.7
1,31,3100,car,1052.206,993.5,7.817,-0.603,-0.077,4.17,1.7
1,32,3200,car,1052.987,993.425,7.947,-0.682,-0.086,4.17,1.7
1,33,3300,car,1053.782,993.345,8.075,-0.752,-0.093,4.17,1.7
1,34,3400,car,1054.59,993.259,8.199,-0.811,-0.099,4.17,1.7
1,35,3500,car,1055.41,993.17,8.32,-0.862,-0.103,4.17,1.7
1,36,3600,car,1056.242,993.077,8.435,-0.904,-0.107,4.17,1.7
1,37,3700,car,1057.085,992.982,8.544,-0.938,-0.109,4.17,1.7
1,38,3800,car,1057.94,992.884,8.646,-0.966,-0.111,4.17,1.7
1,39,3900,car,1058.804,992.785,8.74,-0.988,-0.113,4.17,1.7
1,40,4000,car,1059.678,992.684,8.825,-1.006,-0.114,4.17,1.7
1,41,4100,car,1060.561,992.583,8.9,-1.021,-0.114,4.17,1.7
1,42,4200,car,1061.451,992.48,8.965,-1.032,-0.115,4.17,1.7
1,43,4300,car,1062.347,992.376,9.018,-1.041,-0.115,4.17,1.7
1,44,4400,car,1063.249,992.271,9.06,-1.049,-0.115,4.17,1.7
1,45,4500,car,1064.155,992.166,9.09,-1.055,-0.116,4.17,1.7
1,46,4600,car,1065.064,992.06,9.11,-1.06,-0.116,4.17,1.7
1,47,4700,car,1065.975,991.954,9.121,-1.063,-0.116,4.17,1.7
1,48,4800,car,1066.887,991.847,9.124,-1.066,-0.116,4.17,1.7
1,49,4900,car,1067.799,991.74,9.124,-1.069,-0.117,4.17,1.7
2,1,100,car,970.665,1014.693,-0.929,-0.668,-2.518,4.4,1.96
2,2,200,car,970.57,1014.621,-0.933,-0.671,-2.518,4.4,1.96
2,3,300,car,970.475,1014.55,-0.941,-0.676,-2.518,4.4,1.96
2,4,400,car,970.379,1014.478,-0.951,-0.683,-2.519,4.4,1.96
2,5,500,car,970.282,1014.405,-0.962,-0.69,-2.519,4.4,1.96
2,6,600,car,970.183,1014.332,-0.972,-0.698,-2.519,4.4,1.96
